UICCode,stationType,EVACode,code,cdCode,sporen,synoniemen,heeftFaciliteiten,heeftVertrektijden,heeftReisassistentie,land,lat,lng,radius,naderenRadius,ingangsDatum,namen.lang,namen.middel,namen.kort,nearbyMeLocationId.value,nearbyMeLocationId.type
8400254,STOPTREIN_STATION,8400254,GO,254,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.2302780151367,6.58444452285767,200,1200,2020-05-13,Goor,Goor,Goor,GO,stationV2
8400257,STOPTREIN_STATION,8400257,GDG,257,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",[],True,True,True,NL,52.0149993896484,4.7408332824707,200,1600,1993-05-01,Gouda Goverwelle,Goverwelle,Goverwelle,GDG,stationV2
8400259,STOPTREIN_STATION,8400259,GBG,259,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.6091651916504,6.67583322525024,200,1200,2020-05-13,Gramsbergen,Gramsbergen,Gramsbergn,GBG,stationV2
8400267,STOPTREIN_STATION,8400267,GK,267,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.2557403255735,6.30977869033813,200,1200,2020-09-01,Grijpskerk,Grijpskerk,Grijpskerk,GK,stationV2
8400238,STOPTREIN_STATION,8400042,GERP,238,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",[],True,True,True,NL,53.20480027,6.5854178,200,1200,2014-04-02,Groningen Europapark,Europapark,Europapark,GERP,stationV2
8400264,STOPTREIN_STATION,8400264,GNN,264,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.2301469,6.5563172,200,1200,2020-09-01,Groningen Noord,Groningen Noord,Groningn N,GNN,stationV2
8400266,STOPTREIN_STATION,8400266,GW,266,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.0888900756836,5.82250022888184,200,1600,1999-05-30,Grou-Jirnsum,Grou-Jirnsum,Grou-Jirns,GW,stationV2
8400270,STOPTREIN_STATION,8402735,HLMS,270,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.3827781677246,4.67305564880371,200,1200,2011-05-01,Haarlem Spaarnwoude,Spaarnwoude,Spaarnwde,HLMS,stationV2
8400400,STOPTREIN_STATION,8400400,HWZB,400,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.385935,4.747165,200,1200,2012-12-09,Halfweg-Zwanenburg,Halfweg-Zw.,Halfweg-Zw,HWZB,stationV2
8400438,STOPTREIN_STATION,8400104,HBZM,438,[{'spoorNummer': '1'}],[],True,True,True,NL,51.82944,4.815663,200,1200,2020-05-13,Hardinxveld Blauwe Zoom,Blauwe Zoom,Blauwe Zm,HBZM,stationV2
8400295,STOPTREIN_STATION,8400295,GND,295,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.8305549621582,4.83583354949951,200,1200,2020-05-13,Hardinxveld-Giessendam,Hardinxveld-G.,Hardinxvld,GND,stationV2
8400297,STOPTREIN_STATION,8400297,HRN,297,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,53.1761093139648,6.61722230911255,300,1600,1998-09-02,Haren,Haren,Haren,HRN,stationV2
8400296,STOPTREIN_STATION,8400296,HLG,296,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",['Harns'],True,True,True,NL,53.1704205,5.4251932,200,1200,2020-09-01,Harlingen,Harlingen,Harlingen,HLG,stationV2
8400298,STOPTREIN_STATION,8479003,HLGH,298,[{'spoorNummer': '1'}],['Harns Haven'],True,True,True,NL,53.174917,5.4112885,200,1200,2020-09-01,Harlingen Haven,Harlingen Haven,Harl Haven,HLGH,stationV2
8400317,STOPTREIN_STATION,8400317,HK,317,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.4952774047852,4.68694448471069,200,1200,1990-01-01,Heemskerk,Heemskerk,Heemskerk,HK,stationV2
8400404,STOPTREIN_STATION,8400087,HRLW,404,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,50.896667,5.952222,200,1200,2022-01-01,Heerlen Woonboulevard,Hrl Woonblvd,Heerlen W,HRLW,stationV2
8400308,STOPTREIN_STATION,8400308,HZE,308,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.3849983215332,5.56944465637207,200,1200,2011-05-01,Heeze,Heeze,Heeze,HZE,stationV2
8400309,STOPTREIN_STATION,8400309,HLO,309,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.5994453430176,4.70055532455444,200,1200,1990-01-01,Heiloo,Heiloo,Heiloo,HLO,stationV2
8400310,STOPTREIN_STATION,8400310,HNO,310,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.4272232055664,6.22111129760742,200,1200,2020-05-13,Heino,Heino,Heino,HNO,stationV2
8400300,STOPTREIN_STATION,8400300,HMH,300,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.46794,5.63085,200,1200,2011-05-01,Helmond 't Hout,'t Hout,'t Hout,HMH,stationV2
8400242,STOPTREIN_STATION,8400035,HMBV,242,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,False,NL,51.4622230529785,5.60722208023071,200,1200,2011-05-01,Helmond Brandevoort,Brandevoort,Brandevrt,HMBV,stationV2
8400299,STOPTREIN_STATION,8400299,HMBH,299,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.47068,5.70177,200,1200,2011-05-01,Helmond Brouwhuis,Brouwhuis,Brouwhuis,HMBH,stationV2
8400315,STOPTREIN_STATION,8400315,HMN,315,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,51.9222129,5.6737254,200,1200,2020-05-13,Hemmen-Dodewaard,Hemmen-Dodew.,Hemmen-D,HMN,stationV2
8400433,STOPTREIN_STATION,8400433,HGLG,433,[{'spoorNummer': '1'}],[],True,True,True,NL,52.261667,6.767778,200,1200,2020-05-13,Hengelo Gezondheidspark,Hengelo Gezondh.,Gezondhprk,HGLG,stationV2
8400312,STOPTREIN_STATION,8400312,HGLO,312,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.2688903808594,6.81944465637207,200,1200,2020-05-13,Hengelo Oost,Hengelo Oost,Hengelo O,HGLO,stationV2
8400329,STOPTREIN_STATION,8400005,HIL,329,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.3025016784668,4.56555557250977,200,1200,2011-05-01,Hillegom,Hillegom,Hillegom,HIL,stationV2
8400324,STOPTREIN_STATION,8400324,HVSM,324,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.2380561828613,5.17388868331909,200,1200,1990-01-01,Hilversum Media Park,Media Park,Media Park,HVSM,stationV2
8400570,STOPTREIN_STATION,8400570,HVSP,570,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.2161102294922,5.18722200393677,200,1200,1990-01-01,Hilversum Sportpark,Sportpark,Sportpark,HVSP,stationV2
8400323,STOPTREIN_STATION,8400323,HNP,323,[{'spoorNummer': '1'}],['Hylpen'],True,True,True,NL,52.9464903,5.423063,200,1200,2020-09-01,Hindeloopen,Hindeloopen,Hindeloopn,HNP,stationV2
8400326,STOPTREIN_STATION,8400326,HB,326,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,50.9055557250977,5.93055534362793,200,1200,2022-01-01,Hoensbroek,Hoensbroek,Hoensbroek,HB,stationV2
8400490,STOPTREIN_STATION,8400490,HVL,490,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.16652,5.45718,200,1200,2020-05-13,Hoevelaken,Hoevelaken,Hoevelaken,HVL,stationV2
8400327,STOPTREIN_STATION,8400327,HOR,327,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.1777763366699,5.17916679382324,200,1200,1990-01-01,Hollandsche Rading,Holl. Rading,Hol Rading,HOR,stationV2
8400328,STOPTREIN_STATION,8400328,HON,328,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.2838897705078,6.42027759552002,200,1600,2002-08-18,Holten,Holten,Holten,HON,stationV2
8400332,STOPTREIN_STATION,8400332,HFD,332,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",[],True,True,True,NL,52.2933349609375,4.70055532455444,200,1200,2011-05-01,Hoofddorp,Hoofddorp,Hoofddorp,HFD,stationV2
8400330,STOPTREIN_STATION,8400330,HGV,330,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}]",[],True,True,True,NL,52.7338905334473,6.47361087799072,300,1600,1990-01-01,Hoogeveen,Hoogeveen,Hoogeveen,HGV,stationV2
8400334,STOPTREIN_STATION,8400334,HKS,334,"[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",[],True,True,True,NL,52.6905555725098,5.18388891220093,200,1200,2008-01-01,Hoogkarspel,Hoogkarspel,Hoogkrspl,HKS,stationV2
