,id,type,registrationTime,releaseTime,local,title,topic,isActive,start,end,phase.id,phase.label,impact.value,period,summaryAdditionalTravelTime.minimumDurationInMinutes,summaryAdditionalTravelTime.maximumDurationInMinutes
19,7004109,b'MAINTENANCE',2023-10-30 08:33:51+00:00,2023-10-30 08:33:51+00:00,False,Arnhem to Duisburg to Düsseldorf.,,False,2023-11-24 21:00:00+01:00,2023-12-03 23:59:00+01:00,,,4,Vrijdag 24-11-2023 21:00 uur t/m zondag 03-12-2023 23:59 uur.,,30.0
20,7004104,b'MAINTENANCE',2023-11-14 08:23:09+00:00,2023-11-14 08:23:09+00:00,False,Rotterdam Centraal.,,False,2023-11-25 00:30:00+01:00,2023-11-27 05:00:00+01:00,,,5,Zaterdag 25-11-2023 00:30 uur t/m maandag 27-11-2023 05:00 uur.,30.0,45.0
21,7004164,b'MAINTENANCE',2023-10-27 12:09:21+00:00,2023-10-27 12:09:21+00:00,False,Utrecht to Rhenen; Utrecht to Nijmegen.,,False,2023-11-25 01:30:00+01:00,2023-11-26 17:35:00+01:00,,,3,Zaterdag 25-11-2023 01:30 uur t/m zondag 26-11-2023 17:35 uur.,30.0,30.0
22,7003873,b'MAINTENANCE',2023-11-20 19:43:29+00:00,2023-11-20 19:43:29+00:00,False,Amsterdam to Rotterdam to Brussel (HSL).,,False,2023-11-25 04:00:00+01:00,2023-11-27 02:00:00+01:00,,,2,Zaterdag 25-11-2023 04:00 uur t/m maandag 27-11-2023 02:00 uur.,,
23,7004031,b'MAINTENANCE',2023-11-20 10:17:49+00:00,2023-11-20 10:17:49+00:00,False,Amersfoort to EdetoWageningen.,,False,2023-11-25 04:00:00+01:00,2023-11-27 02:00:00+01:00,,,4,Zaterdag 25-11-2023 04:00 uur t/m maandag 27-11-2023 02:00 uur.,,30.0
24,7004156,b'MAINTENANCE',2023-11-06 08:29:26+00:00,2023-11-06 08:29:26+00:00,False,Zwolle to Emmen.,,False,2023-11-25 04:00:00+01:00,2023-12-04 02:00:00+01:00,,,4,Zaterdag 25-11-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.,,45.0
25,7004066,b'MAINTENANCE',2023-11-06 12:45:26+00:00,2023-11-06 12:45:26+00:00,False,Amsterdam to Brussel to Paris (HSL).,,False,2023-11-25 06:00:00+01:00,2023-11-26 23:59:00+01:00,,,2,Zaterdag 25-11-2023 06:00 uur t/m zondag 26-11-2023 23:59 uur.,,
26,7004083,b'MAINTENANCE',2023-11-20 19:39:24+00:00,2023-11-20 19:39:24+00:00,False,Amsterdam to Brussel to London (HSL).,,False,2023-11-25 06:00:00+01:00,2023-11-26 23:59:00+01:00,,,2,Zaterdag 25-11-2023 06:00 uur t/m zondag 26-11-2023 23:59 uur.,,
27,7004163,b'MAINTENANCE',2023-10-30 08:26:15+00:00,2023-10-30 08:26:15+00:00,False,Deventer to Enschede; Zwolle to Enschede.,,False,2023-11-26 00:45:00+01:00,2023-11-26 02:30:00+01:00,,,3,Zondag 26-11-2023 00:45 uur t/m zondag 26-11-2023 02:30 uur.,,30.0
28,7004155,b'MAINTENANCE',2023-10-30 08:39:14+00:00,2023-10-30 08:39:14+00:00,False,Groningen to Eemshaven.,,False,2023-11-26 23:20:00+01:00,2023-11-27 05:00:00+01:00,,,3,Zondag 26-11-2023 23:20 uur t/m maandag 27-11-2023 05:00 uur.,,30.0
29,7004169,b'MAINTENANCE',2023-11-18 14:15:46+00:00,2023-11-18 14:15:46+00:00,False,Den Haag to Rotterdam; Rotterdam to Dordrecht; Rotterdam to Breda (HSL).,,False,2023-11-27 04:00:00+01:00,2023-12-02 01:00:00+01:00,,,2,Maandag 27-11-2023 04:00 uur t/m zaterdag 02-12-2023 01:00 uur.,15.0,15.0
30,7003876,b'MAINTENANCE',2023-10-31 10:41:56+00:00,2023-10-31 10:41:56+00:00,False,Amsterdam to Rotterdam to Brussel (HSL).,,False,2023-11-27 04:00:00+01:00,2023-12-02 02:00:00+01:00,,,2,Maandag 27-11-2023 04:00 uur t/m zaterdag 02-12-2023 02:00 uur.,,
31,7004220,b'MAINTENANCE',2023-11-18 14:16:46+00:00,2023-11-18 14:16:46+00:00,False,Amsterdam to Schiphol to Rotterdam (HSL).,,False,2023-11-27 06:00:00+01:00,2023-12-01 20:00:00+01:00,,,2,Maandag 27-11-2023 06:00 uur t/m vrijdag 01-12-2023 20:00 uur.,,
32,7004166,b'MAINTENANCE',2023-11-06 08:29:50+00:00,2023-11-06 08:29:50+00:00,False,Groningen to Delfzijl.,,False,2023-11-27 23:20:00+01:00,2023-11-28 05:00:00+01:00,,,3,Maandag 27-11-2023 23:20 uur t/m dinsdag 28-11-2023 05:00 uur.,,30.0
33,7004105,b'MAINTENANCE',2023-10-31 15:14:33+00:00,2023-10-31 15:14:33+00:00,False,Rotterdam Centraal.,,False,2023-12-02 00:30:00+01:00,2023-12-04 05:00:00+01:00,,,5,Zaterdag 02-12-2023 00:30 uur t/m maandag 04-12-2023 05:00 uur.,30.0,45.0
34,7003877,b'MAINTENANCE',2023-11-06 13:23:21+00:00,2023-11-06 13:23:21+00:00,False,Amsterdam to Rotterdam to Brussel (HSL).,,False,2023-12-02 04:00:00+01:00,2023-12-03 23:59:00+01:00,,,2,Zaterdag 02-12-2023 04:00 uur t/m zondag 03-12-2023 23:59 uur.,,
35,7003875,b'MAINTENANCE',2023-10-31 10:37:49+00:00,2023-10-31 10:37:49+00:00,False,Roosendaal to Antwerpen to Puurs.,,False,2023-12-02 04:00:00+01:00,2023-12-04 02:00:00+01:00,,,2,Zaterdag 02-12-2023 04:00 uur t/m maandag 04-12-2023 02:00 uur.,,30.0
36,7004084,b'MAINTENANCE',2023-11-20 19:39:04+00:00,2023-11-20 19:39:04+00:00,False,Amsterdam to Brussel to London (HSL).,,False,2023-12-02 06:00:00+01:00,2023-12-03 23:59:00+01:00,,,2,Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.,,
37,7004067,b'MAINTENANCE',2023-11-06 12:47:23+00:00,2023-11-06 12:47:23+00:00,False,Amsterdam to Brussel to Paris (HSL).,,False,2023-12-02 06:00:00+01:00,2023-12-03 23:59:00+01:00,,,2,Zaterdag 02-12-2023 06:00 uur t/m zondag 03-12-2023 23:59 uur.,,
38,7004123,b'MAINTENANCE',2023-11-03 10:52:59+00:00,2023-11-03 10:52:59+00:00,False,Amsterdam to Lelystad Centrum; Schiphol to Lelystad.,,False,2023-12-03 00:45:00+01:00,2023-12-04 02:00:00+01:00,,,4,Zondag 03-12-2023 00:45 uur t/m maandag 04-12-2023 02:00 uur.,30.0,30.0
39,7004149,b'MAINTENANCE',2023-10-31 10:37:04+00:00,2023-10-31 10:37:04+00:00,False,Amsterdam to Haarlem.,,False,2023-12-03 01:15:00+01:00,2023-12-03 04:00:00+01:00,,,3,Zondag 03-12-2023 01:15 uur t/m zondag 03-12-2023 04:00 uur.,15.0,15.0
40,7004205,b'MAINTENANCE',2023-11-13 13:02:56+00:00,2023-11-13 13:02:56+00:00,False,Utrecht to Arnhem; Utrecht to Rhenen.,,False,2023-12-03 01:15:00+01:00,2023-12-04 01:15:00+01:00,,,3,Zondag 03-12-2023 01:15 uur t/m maandag 04-12-2023 01:15 uur.,,30.0
41,7004182,b'MAINTENANCE',2023-11-03 10:52:31+00:00,2023-11-03 10:52:31+00:00,False,Amsterdam to Schiphol to Leiden; Amsterdam Zuid to Den Haag.,,False,2023-12-03 01:25:00+01:00,2023-12-03 23:59:00+01:00,,,4,Zondag 03-12-2023 01:25 uur t/m zondag 03-12-2023 23:59 uur.,60.0,60.0
42,7004134,b'MAINTENANCE',2023-11-07 09:18:08+00:00,2023-11-07 09:18:08+00:00,False,Utrecht to 'stoHertogenbosch; Utrecht to Tiel.,,False,2023-12-03 04:00:00+01:00,2023-12-03 09:00:00+01:00,,,3,Zondag 03-12-2023 04:00 uur t/m zondag 03-12-2023 09:00 uur.,,30.0
43,7004127,b'MAINTENANCE',2023-11-03 10:52:55+00:00,2023-11-03 10:52:55+00:00,False,Amersfoort to Deventer.,,False,2023-12-03 06:00:00+01:00,2023-12-04 02:00:00+01:00,,,2,Zondag 03-12-2023 06:00 uur t/m maandag 04-12-2023 02:00 uur.,15.0,15.0
44,7004225,b'MAINTENANCE',2023-11-20 10:45:48+00:00,2023-11-20 10:45:48+00:00,False,Amersfoort to Zwolle.,,False,2023-12-04 23:15:00+01:00,2023-12-05 05:30:00+01:00,,,3,Maandag 04-12-2023 23:15 uur t/m dinsdag 05-12-2023 05:30 uur.,45.0,45.0
45,7004197,b'MAINTENANCE',2023-11-20 08:28:34+00:00,2023-11-20 08:28:34+00:00,False,Groningen to Eemshaven.,,False,2023-12-08 23:35:00+01:00,2023-12-18 02:00:00+01:00,,,4,Vrijdag 08-12-2023 23:35 uur t/m maandag 18-12-2023 02:00 uur.,,45.0
46,7004198,b'MAINTENANCE',2023-11-20 08:28:27+00:00,2023-11-20 08:28:27+00:00,False,Groningen to Delfzijl.,,False,2023-12-09 00:10:00+01:00,2023-12-18 02:00:00+01:00,,,4,Zaterdag 09-12-2023 00:10 uur t/m maandag 18-12-2023 02:00 uur.,,45.0
47,7004207,b'MAINTENANCE',2023-11-14 13:26:10+00:00,2023-11-14 13:26:10+00:00,False,Amsterdam to Schiphol to Leiden; Hoofddorp to Schiphol to Almere Oostvaarders.,,False,2023-12-09 00:15:00+01:00,2023-12-11 05:00:00+01:00,,,5,Zaterdag 09-12-2023 00:15 uur t/m maandag 11-12-2023 05:00 uur.,30.0,30.0
48,7004217,b'MAINTENANCE',2023-11-14 14:00:47+00:00,2023-11-14 14:00:47+00:00,False,Amsterdam to Schiphol to Leiden.,,False,2023-12-09 01:30:00+01:00,2023-12-09 06:00:00+01:00,,,3,Zaterdag 09-12-2023 01:30 uur t/m zaterdag 09-12-2023 06:00 uur.,30.0,30.0
