id,type,registrationTime,releaseTime,local,title,topic,isActive,start,end,phase.id,phase.label,impact.value,expectedDuration.description,expectedDuration.endTime,period,summaryAdditionalTravelTime.minimumDurationInMinutes,summaryAdditionalTravelTime.maximumDurationInMinutes,sectionType,section.direction,consequence.section.direction,consequence.description,consequence.level,uicCode,stationCode,name,countryCode,coordinate.lat,coordinate.lng
7004083,MAINTENANCE,2023-11-20T20:39:24+0100,2023-11-20T20:39:24+0100,False,Amsterdam - Brussel - London (HSL).,,True,2023-11-25T06:00:00+0100,2023-11-26T23:59:00+0100,,,2.0,,,Zaterdag 25-11-2023 06:00 uur t/m zondag 26-11-2023 23:59 uur.,,,HSL,BOTH,ONE_WAY,geen treinen op de HSL,LESS_TRAINS,8015190,HZ,Herzogenrath,D,50.870916,6.094486
7004066,MAINTENANCE,2023-11-06T13:45:26+0100,2023-11-06T13:45:26+0100,False,Amsterdam - Brussel - Paris (HSL).,,True,2023-11-25T06:00:00+0100,2023-11-26T23:59:00+0100,,,2.0,,,Zaterdag 25-11-2023 06:00 uur t/m zondag 26-11-2023 23:59 uur.,,,NL,BOTH,ONE_WAY,aangep. dienstregeling en businzet,LESS_TRAINS,8015345,AHBF,Aachen Hbf,D,50.7678,6.091499
7004163,MAINTENANCE,2023-10-30T09:26:15+0100,2023-10-30T09:26:15+0100,False,Deventer - Enschede; Zwolle - Enschede.,,False,2023-11-26T00:45:00+0100,2023-11-26T02:30:00+0100,,,3.0,,,Zondag 26-11-2023 00:45 uur t/m zondag 26-11-2023 02:30 uur.,,30.0,NL,BOTH,ONE_WAY,aangep. dienstregeling en businzet,LESS_TRAINS,8400316,HGL,Hengelo,NL,52.2616653442383,6.79388904571533
7004155,MAINTENANCE,2023-10-30T09:39:14+0100,2023-10-30T09:39:14+0100,False,Groningen - Eemshaven.,,False,2023-11-26T23:20:00+0100,2023-11-27T05:00:00+0100,,,3.0,,,Zondag 26-11-2023 23:20 uur t/m maandag 27-11-2023 05:00 uur.,,30.0,HSL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400312,HGLO,Hengelo Oost,NL,52.2688903808594,6.81944465637207
7004169,MAINTENANCE,2023-11-18T15:15:46+0100,2023-11-18T15:15:46+0100,False,Den Haag - Rotterdam; Rotterdam - Dordrecht; Rotterdam - Breda (HSL).,,False,2023-11-27T04:00:00+0100,2023-12-02T01:00:00+0100,,,2.0,,,Maandag 27-11-2023 04:00 uur t/m zaterdag 02-12-2023 01:00 uur.,15.0,15.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400483,ODZ,Oldenzaal,NL,52.3063888549805,6.93472242355347
7003876,MAINTENANCE,2023-10-31T11:41:56+0100,2023-10-31T11:41:56+0100,False,Amsterdam - Rotterdam - Brussel (HSL).,,False,2023-11-27T04:00:00+0100,2023-12-02T02:00:00+0100,,,2.0,,,Maandag 27-11-2023 04:00 uur t/m zaterdag 02-12-2023 02:00 uur.,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400319,HT,'s-Hertogenbosch,NL,51.69048,5.29362
7004220,MAINTENANCE,2023-11-18T15:16:46+0100,2023-11-18T15:16:46+0100,False,Amsterdam - Schiphol - Rotterdam (HSL).,,False,2023-11-27T06:00:00+0100,2023-12-01T20:00:00+0100,,,2.0,,,Maandag 27-11-2023 06:00 uur t/m vrijdag 01-12-2023 20:00 uur.,,,HSL,BOTH,ONE_WAY,geen Eurostar,LESS_TRAINS,8400667,VG,Vught,NL,51.6555557250977,5.29194450378418
7004166,MAINTENANCE,2023-11-06T09:29:50+0100,2023-11-06T09:29:50+0100,False,Groningen - Delfzijl.,,False,2023-11-27T23:20:00+0100,2023-11-28T05:00:00+0100,,,3.0,,,Maandag 27-11-2023 23:20 uur t/m dinsdag 28-11-2023 05:00 uur.,,30.0,HSL,BOTH,ONE_WAY,aangepaste internationale dienstregeling,LESS_TRAINS,8400129,BTL,Boxtel,NL,51.58433,5.31912
7004105,MAINTENANCE,2023-10-31T16:14:33+0100,2023-10-31T16:14:33+0100,False,Rotterdam Centraal.,,False,2023-12-02T00:30:00+0100,2023-12-04T05:00:00+0100,,,5.0,,,Zaterdag 02-12-2023 00:30 uur t/m maandag 04-12-2023 05:00 uur.,30.0,45.0,NL,ONE_WAY,ONE_WAY,rijden bussen,LESS_TRAINS,8400112,BET,Best,NL,51.5099983215332,5.38916683197022
7003877,MAINTENANCE,2023-11-06T14:23:21+0100,2023-11-06T14:23:21+0100,False,Amsterdam - Rotterdam - Brussel (HSL).,,False,2023-12-02T04:00:00+0100,2023-12-03T23:59:00+0100,,,2.0,,,Zaterdag 02-12-2023 04:00 uur t/m zondag 03-12-2023 23:59 uur.,,,NL,ONE_WAY,ONE_WAY,rijden bussen,LESS_TRAINS,8400196,EHS,Eindhoven Strijp-S,NL,51.4511108398438,5.45583343505859
